Nama_Desa;Jumlah_Penduduk;Luas;Kepadatan
BANGKOK;2339;3,264;716,647
BANTENGAN;2575;3,015;854,013
DOLOGAN;2153;2,934;733,932
GROGOLAN;2269;2,305;984,565
KARANGKEPOH;2390;2,372;1007,678
KEBONAN;3544;2,015;1759,064
KLARI;2207;5,047;437,26
KLUMPIT;2199;2,539;866,156
MANYARAN;4177;6,161;677,968
MOJOSARI;1518;1,545;982,434
PENGKOL;2935;3,525;832,737
PINGGIR;2050;2,536;808,517
SEMPULUR;2199;2,274;967,056
SENDANG;3455;2,783;1241,315
SRANTEN;2736;2,398;1140,775
TEGALSARI;2266;1,677;1351,353
