Nama_Desa;Jumlah_Penduduk;Luas(km2);Kepadatan
DESA BANGKOK;2339;3,264;716,647
DESA BANTENGAN;2575;3,015;854,013
DESA DOLOGAN;2153;2,934;733,932
DESA GROGOLAN;2269;2,305;984,565
DESA KARANGKEPOH;2390;2,372;1007,678
DESA KEBONAN;3544;2,015;1759,064
DESA KLARI;2207;5,047;437,260
DESA KLUMPIT;2199;2,539;866,156
DESA MANYARAN;4177;6,161;677,968
DESA MOJOSARI;1518;1,545;982,434
DESA PENGKOL;2935;3,525;832,737
DESA PINGGIR;2050;2,536;808,517
DESA SEMPULUR;2199;2,274;967,056
DESA SENDANG;3455;2,783;1241,315
DESA SRANTEN;2736;2,398;1140,775
DESA TEGALSARI;2266;1,677;1351,353
