FID;KABUPATEN;KECAMATAN;FIRST_KABU;FIRST_PROV;FIRST_NEGA;FIRST_LUAS;NO;KECAMATAN_;LUAS_WIL;LUAS_PEK;KPDTN_BRUT;KPDTN_NETT;LUAS_WIL_2;LUAS_PEK_2;KPDTN_BRT;KPDTN_NTT;kepadatan
0;Klaten;BAYAT;KLATEN;JAWA TENGAH;INDONESIA;41.083 sq km;4;BAYAT;3,943;1,374;17;50;3,943;1,374;16;46.000.000.000.000.000;53434
1;Klaten;CAWAS;KLATEN;JAWA TENGAH;INDONESIA;37.110 sq km;5;CAWAS;3,447;904;21;79;3,447;904;19;73.000.000.000.000.000;50530
2;Klaten;DELANGGU;KLATEN;JAWA TENGAH;INDONESIA;19.989 sq km;18;DELANGGU;1,878;437;26;100;1,878;481;24;102.000.000.000.000.000;39564
3;Klaten;GANTIWARNO;KLATEN;JAWA TENGAH;INDONESIA;27.321 sq km;2;GANTIWARNO;2,564;563;17;79;2,564;563;16;73.000.000.000.000.000;34459
4;Klaten;JATINOM;KLATEN;JAWA TENGAH;INDONESIA;36.901 sq km;22;JATINOM;3,553;1,168;17;53;3,553;1,168;16;49.000.000.000.000.000;54150
5;Klaten;JOGONALAN;KLATEN;JAWA TENGAH;INDONESIA;28.068 sq km;9;JOGONALAN;2,67;799;23;78;2,67;799;22;72.000.000.000.000.000;54337
6;Klaten;JUWIRING;KLATEN;JAWA TENGAH;INDONESIA;31.803 sq km;16;JUWIRING;2,979;784;22;80;2,979;826;21;78.000.000.000.000.000;53802
7;Klaten;KALIKOTES;KLATEN;JAWA TENGAH;INDONESIA;14.202 sq km;7;KALIKOTES;1,3;439;31;85;1,3;476;29;85.000.000.000.000.000;33512
8;Klaten;KARANGANOM;KLATEN;JAWA TENGAH;INDONESIA;26.322 sq km;20;KARANGANOM;2,406;577;22;85;2,406;626;20;85.000.000.000.000.000;40865
9;Klaten;KARANGDOWO;KLATEN;JAWA TENGAH;INDONESIA;31.140 sq km;15;KARANGDOWO;2,923;671;19;80;2,923;688;17;76.000.000.000.000.000;38644
10;Klaten;KARANGNONGKO;KLATEN;JAWA TENGAH;INDONESIA;30.420 sq km;11;KARANGNONGKO;2,674;909;15;45;2,674;909;14;42.000.000.000.000.000;32564
11;Klaten;KEBONARUM;KLATEN;JAWA TENGAH;INDONESIA;11.200 sq km;8;KEBONARUM;966;191;24;109;966;212;22;112.000.000.000.000.000;17879
12;Klaten;KEMALANG;KLATEN;JAWA TENGAH;INDONESIA;58.556 sq km;23;KEMALANG;5,166;2,046;7;18;5,166;2,046;7;17.000.000.000.000.000;35768
13;Klaten;KLATEN SELATAN;KLATEN;JAWA TENGAH;INDONESIA;15.333 sq km;24;KLATEN SELATA;1,444;486;31;92;1,444;486;29;85.000.000.000.000.000;43448
14;Klaten;KLATEN TENGAH;KLATEN;JAWA TENGAH;INDONESIA;10.175 sq km;25;KLATEN TENGAH;890;494;53;96;890;494;49;89.000.000.000.000.000;40046
15;Klaten;PEDAN;KLATEN;JAWA TENGAH;INDONESIA;20.478 sq km;14;PEDAN;1,917;590;28;83;1,917;638;25;83.000.000.000.000.000;42736
16;Klaten;POLANHARJO;KLATEN;JAWA TENGAH;INDONESIA;25.784 sq km;19;POLANHARJO;2,384;414;21;108;2,384;460;19;111.000.000.000.000.000;36555
17;Klaten;PRAMBANAN;KLATEN;JAWA TENGAH;INDONESIA;27.184 sq km;1;PRAMBANAN;2,443;885;22;60;2,443;885;20;56.000.000.000.000.000;49030
18;Klaten;TRUCUK;KLATEN;JAWA TENGAH;INDONESIA;36.784 sq km;6;TRUCUK;3,381;1,251;26;71;3,381;1,251;24;66.000.000.000.000.000;70601
19;Klaten;WEDI;KLATEN;JAWA TENGAH;INDONESIA;27.019 sq km;3;WEDI;2,438;747;25;80;2,438;747;23;74.000.000.000.000.000;47374
20;Klaten;CEPER;KLATEN;JAWA TENGAH;INDONESIA;26.018 sq km;13;CEPER;2,445;714;28;89;2,445;777;26;89.000.000.000.000.000;58729
21;Klaten;KLATEN UTARA;KLATEN;JAWA TENGAH;INDONESIA;11.662 sq km;26;KLATEN UTARA;1,038;549;44;83;1,038;549;41;77.000.000.000.000.000;46556
22;Klaten;MANISRENGGO;KLATEN;JAWA TENGAH;INDONESIA;31.395 sq km;10;MANISRENGGO;2,696;928;17;49;2,696;928;15;45.000.000.000.000.000;39622
23;Klaten;NGAWEN;KLATEN;JAWA TENGAH;INDONESIA;18.777 sq km;12;NGAWEN;1,697;598;28;80;1,697;598;26;74.000.000.000.000.000;40534
24;Klaten;TULUNG;KLATEN;JAWA TENGAH;INDONESIA;35.270 sq km;21;TULUNG;3,2;816;18;72;3,2;816;17;67.000.000.000.000.000;45583
25;Klaten;WONOSARI;KLATEN;JAWA TENGAH;INDONESIA;33.830 sq km;17;WONOSARI;3,114;688;22;90;3,114;750;20;91.000.000.000.000.000;58473
